2026-07-30 18:51:06,525 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__GuidedBackprop__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:51:06,537 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__GuidedBackprop__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:51:06,575 | INFO    | molsanity | [cell MUTAG__GINE__GuidedBackprop__scaffold] DONE — acc=0.75 gt_auroc=0.015677361853832443 n=20 (capped)
2026-07-30 18:51:06,580 | INFO    | molsanity | [stage cell_MUTAG__GINE__GuidedBackprop__random] running (6aefd37feb66badc)
2026-07-30 18:51:06,611 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:06,635 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:51:08,137 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__GuidedBackprop__random/gt_validation.pdf (+ .svg)
2026-07-30 18:51:08,149 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__GuidedBackprop__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:51:08,190 | INFO    | molsanity | [cell MUTAG__GINE__GuidedBackprop__random] DONE — acc=0.55 gt_auroc=0.2583383977133977 n=20 (capped)
2026-07-30 18:51:08,194 | INFO    | molsanity | [stage cell_MUTAG__GINE__GNNExplainer__scaffold] running (f64156fd045b5f38)
2026-07-30 18:51:08,229 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:08,493 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:51:08,517 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 18:51:44,910 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__GNNExplainer__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:51:44,923 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__GNNExplainer__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
2026-07-30 18:51:44,962 | INFO    | molsanity | [cell MUTAG__GINE__GNNExplainer__scaffold] DONE — acc=0.75 gt_auroc=0.6711043422808128 n=20 (capped)
2026-07-30 18:51:44,966 | INFO    | molsanity | [stage cell_MUTAG__GINE__GNNExplainer__random] running (f3a5f25f941381a1)
2026-07-30 18:51:44,996 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:51:45,023 | INFO    | molsanity | Loaded existing checkpoint gine_81524887c7adee3c.pt
2026-07-30 18:52:20,208 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__GNNExplainer__random/gt_validation.pdf (+ .svg)
2026-07-30 18:52:20,220 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__GNNExplainer__random/case_molecule.svg (GT atoms: [17, 18, 19])
2026-07-30 18:52:20,268 | INFO    | molsanity | [cell MUTAG__GINE__GNNExplainer__random] DONE — acc=0.55 gt_auroc=0.4516712739874504 n=20 (capped)
2026-07-30 18:52:20,272 | INFO    | molsanity | [stage cell_MUTAG__GINE__PGExplainer__scaffold] running (0cae73e24d06ee63)
2026-07-30 18:52:20,302 | INFO    | molsanity | Loaded MUTAG: 188 graphs, checksum de1d4cec357f
2026-07-30 18:52:20,572 | INFO    | molsanity | Scaffold split: 52 scaffolds -> train 150 / val 18 / test 20
2026-07-30 18:52:20,595 | INFO    | molsanity | Loaded existing checkpoint gine_5281be77a9e8e1fc.pt
2026-07-30 18:53:44,425 | INFO    | molsanity | PGExplainer trained on 150 graphs (30 epochs), final loss 0.4434
2026-07-30 18:54:34,751 | INFO    | molsanity | PGExplainer trained on 150 graphs (30 epochs), final loss 0.0919
2026-07-30 18:54:36,223 | INFO    | molsanity | Wrote GT-validation figure: artifacts/figures/MUTAG__GINE__PGExplainer__scaffold/gt_validation.pdf (+ .svg)
2026-07-30 18:54:36,236 | INFO    | molsanity | Wrote molecule attribution SVG: artifacts/figures/MUTAG__GINE__PGExplainer__scaffold/case_molecule.svg (GT atoms: [14, 15, 16])
